"Opportunity Name","Revenue Type","DT Order ID","Amount After Discount","Renewal Amount this Year","Total Invoice Amount","Close Date","Opportunity Owner","License Ordered"
"W514279 REN 8/23/2021 WSP Global Inc - Retail","CRR Retail Renewal","W514279","900.00","900.00","900.00","4/2/2021","Tara Ubbens","Retail - ESEE"
"REN 4/29/2021 Atlas Lift Tech - Retail Pack","CRR Retail Renewal","S514468","1995.00","1995.00","1995.00","4/6/2021","Tara Ubbens","Retail - ESEE"
"REN 4/17/2021 Ridley Corporation - Retail Pack","CRR Retail Renewal","S514540","1495.00","1495.00","1495.00","4/7/2021","Tara Ubbens","Retail - ESEE"
"REN 4/18/2021 Rayonier - Retail","CRR Retail Renewal","S514553","1125.00","1125.00","1125.00","4/7/2021","Tara Ubbens","Retail - ESEE"
"REN 5/21/2021 Advoware - Retail Pack","CRR Retail Renewal","S514710","1995.00","1995.00","1995.00","4/8/2021","Tara Ubbens","Retail - ESEE"
"REN 4/15/2021 Fidelity Investments via Red River Technologies - Retail","CRR Retail Renewal","S514857","2700.00","2700.00","2700.00","4/9/2021","Tara Ubbens","Retail - ESEE"
"REN 4/10/2021 SHET - Shun Hing Electronic Trading Co Ltd - Retail Pack","CRR Retail Renewal","S514852","1495.00","1495.00","1495.00","4/9/2021","Tara Ubbens","Retail - ESEE"
"REN 5/26/2021 Cavalry Portfolio Services - Retail Pack","CRR Retail Renewal","S514871","1995.00","1995.00","1995.00","4/9/2021","Tara Ubbens","Retail - ESEE"
"REN 4/25/2021 Priority One IT - Retail Pack","CRR Retail Renewal","S514707","1995.00","1995.00","1995.00","4/9/2021","Tara Ubbens","Retail - ESEE"
"REN 5/23/2021 DCIP - Digital Cinema Integration Partners - Retail","CRR Retail Renewal","S514874","1800.00","1800.00","1800.00","4/9/2021","Tara Ubbens","Retail - ESEE"
"W514851 REN 4/16/2021 La Coop Agrilait - Retail","CRR Retail Renewal","W514851","900.00","900.00","900.00","4/12/2021","Tara Ubbens","Retail - ESEE"
"REN 3/31/2021 Alldata LLC - Retail Pack","CRR Retail Renewal","S514886","1995.00","1995.00","1995.00","4/12/2021","Tara Ubbens","Retail - ESEE"
"REN 3/31/2021 Audi AG - Retail Pack","CRR Retail Renewal","S515047","1495.00","1495.00","1495.00","4/13/2021","Tara Ubbens","Retail - ESEE"
"REN 3/13/2021 Biofrontera AG - Retail Pack","CRR Retail Renewal","S515034","1495.00","1495.00","1495.00","4/13/2021","Tara Ubbens","Retail - ESEE"
"REN 4/1/2021 Lennox India Technology Centre Pvt Ltd - Retail Pack via ComponentSource","CRR Retail Renewal","C490771","1121.25","1121.25","1121.25","4/13/2021","Tara Ubbens","Retail - ESEE"
"REN 5/13/2021 ARP CO.,LTD - Retail via ComponentSource","CRR Retail Renewal","C490752","562.50","562.50","562.50","4/14/2021","Tara Ubbens","Retail - ESEE"
"REN 3/27/2021 Minassole - Retail","CRR Retail Renewal","W515283","900.00","900.00","900.00","4/16/2021","Tara Ubbens","Retail - ESEE"
"REN 4/25/2021 Voestalpine - Retail via SoftwareOne","CRR Retail Renewal","S515433","855.00","855.00","855.00","4/19/2021","Tara Ubbens","Retail - ESEE"
"RENAPI - 5/5/2021 - Informatica System Srl","CRR Retail Renewal","S516044","1800.00","1800.00","1800.00","4/19/2021","Tara Ubbens","Retail - ESEE"
"REN 4/16/2021 Bank of Namibia - Retail","CRR Retail Renewal","S515666","900.00","900.00","900.00","4/19/2021","Tara Ubbens","Retail - ESEE"
"REN 5/1/2021 JBM Office Solutions - Retail","CRR Retail Renewal","S515665","900.00","900.00","900.00","4/19/2021","Tara Ubbens","Retail - ESEE"
"W515560 REN 5/2/2021 Northwest GF Mutual Insurance Company - Retail","CRR Retail Renewal","W515560","900.00","900.00","900.00","4/20/2021","Tara Ubbens","Retail - ESEE"
"REN 5/31/2021 Ameliom LLC - Retail Pack","CRR Retail Renewal","S516038","1495.00","1495.00","1495.00","4/20/2021","Tara Ubbens","Retail - ESEE"
"REN 5/1/2021 OnPoint Community Credit Union - Retail","CRR Retail Renewal","S515736","900.00","900.00","900.00","4/21/2021","Tara Ubbens","Retail - ESEE"
"REN 4/30/2021 HCA International - Retail Pack via QBS","CRR Retail Renewal","S515742","1345.50","1345.50","1345.50","4/21/2021","Tara Ubbens","Retail - ESEE"
"REN 5/1/2021 DEKRA - Retail","CRR Retail Renewal","S515882","900.00","900.00","900.00","4/21/2021","Tara Ubbens","Retail - ESEE"
