"Opportunity Name","Revenue Type","DT Order ID","Amount After Discount","Renewal Amount this Year","Total Invoice Amount","Close Date","Opportunity Owner","License Ordered"
"W519043 REN 6/12/2021 AT&T Inc. - Retail","CRR Retail Renewal","W519043","900.00","900.00","900.00","6/1/2021","Tara Ubbens","Retail - ESEE"
"REN 6/28/2021 Foresta Sk A.s. - Retail","CRR Retail Renewal","S519050","2250.00","2250.00","2250.00","6/1/2021","Tara Ubbens","Retail - ESEE"
"REN 5/3/2021 Lam Research Corp - Retail","CRR Retail Renewal","S519144","900.00","900.00","900.00","6/2/2021","Tara Ubbens","Retail - ESEE"
"W519123 REN 6/15/2021 Michael Schletz - Retail","CRR Retail Renewal","W519123","1620.00","1620.00","1620.00","6/2/2021","Tara Ubbens","Retail - ESEE"
"REN 6/15/2021 Baystream Corporation - Retail Pack","CRR Retail Renewal","S519214","1495.00","1495.00","1495.00","6/3/2021","Tara Ubbens","Retail - ESEE"
"REN 6/21/2021 Consilience Capital International, LLC - Retail Pack","CRR Retail Renewal","S519434","1495.00","1495.00","1495.00","6/7/2021","Tara Ubbens","Retail - ESEE"
"REN 6/21/2021 The Humberview Group - Retail Pack","CRR Retail Renewal","S519441","1495.00","1495.00","1495.00","6/7/2021","Tara Ubbens","Retail - ESEE"
"REN 6/19/2021 Svm Timeguidance Gmbh - Retail","CRR Retail Renewal","S519487","900.00","900.00","900.00","6/8/2021","Tara Ubbens","Retail - ESEE"
"REN 6/11/2021 Skycom Corporation - Retail Pack","CRR Retail Renewal","S519628","1495.00","1495.00","1495.00","6/9/2021","Tara Ubbens","Retail - ESEE"
"REN 6/10/2021 Canal de Comunicaciones Unidas, S.A.U. via Danysoft - Retail","CRR Retail Renewal","S519623","855.00","855.00","855.00","6/9/2021","Tara Ubbens","Retail - ESEE"
"REN 6/16/2021 GloverTech - Retail","CRR Retail Renewal","S519780","900.00","900.00","900.00","6/11/2021","Tara Ubbens","Retail - ESEE"
"REN 6/28/2021 NovaCopy - Retail","CRR Retail Renewal","S519926","1125.00","1125.00","1125.00","6/14/2021","Tara Ubbens","Retail - ESEE"
"REN 6/20/2021 WinMill Software - Retail","CRR Retail Renewal","S519962","900.00","900.00","900.00","6/14/2021","Tara Ubbens","Retail - ESEE"
"REN 6/30/2021 Nixon Peabody LLP - Retail","CRR Retail Renewal","S520526","900.00","900.00","900.00","6/14/2021","Tara Ubbens","Retail - ESEE"
"RENAPI - 7/18/2021 - Warburg Pincus, LLC","CRR Retail Renewal","S521508","3490.00","3490.00","3490.00","6/16/2021","Tara Ubbens","Retail - ESEE"
"REN 6/6/2021 Bruker Optics Inc","CRR Retail Renewal","S520157","900.00","900.00","900.00","6/16/2021","Tara Ubbens","Retail - ESEE"
"REN 7/10/2021 Ascom - Retail Pack","CRR Retail Renewal","S520239","1495.00","1495.00","1495.00","6/16/2021","Tara Ubbens","Retail - ESEE"
"REN 6/12/2021 United States district court - Retail Pack","CRR Retail Renewal","S520255","1495.00","1495.00","1495.00","6/17/2021","Tara Ubbens","Retail - ESEE"
"REN 5/18/2021 The Wellington School - Retail","CRR Retail Renewal","S520293","900.00","900.00","900.00","6/17/2021","Tara Ubbens","Retail - ESEE"
"W520273 REN 5/28/2021 Paul Martin - Retail","CRR Retail Renewal","W520273","1125.00","1125.00","1125.00","6/17/2021","Tara Ubbens","Retail - ESEE"
"REN 5/24/2021 Diamond Game - Retail Pack","CRR Retail Renewal","S520535","1995.00","1995.00","1995.00","6/18/2021","Tara Ubbens","Retail - ESEE"
"REN 6/5/2021 First Trust Portfolios - Retail Pack","CRR Retail Renewal","S521441","1995.00","1995.00","1995.00","6/18/2021","Tara Ubbens","Retail - ESEE"
"REN 7/12/2021 T-Matix - Retail Pack","CRR Retail Renewal","S521510","1495.00","1495.00","1495.00","6/18/2021","Tara Ubbens","Retail - ESEE"
"REN 5/23/2021 Maanto - Retail Pack","CRR Retail Renewal","S521513","1495.00","1495.00","1495.00","6/18/2021","Tara Ubbens","Retail - ESEE"
"W520473 REN 6/18/2021 Thalamo Co., Ltd. - Retail","CRR Retail Renewal","W520473","900.00","900.00","900.00","6/21/2021","Tara Ubbens","Retail - ESEE"
"W520551 REN 6/19/2021 Benchmark, Inc. - Retail","CRR Retail Renewal","W520551","900.00","900.00","900.00","6/21/2021","Tara Ubbens","Retail - ESEE"
"REN 7/11/2021 RIIVER CONSULTING - Retail","CRR Retail Renewal","S520899","900.00","900.00","900.00","6/22/2021","Tara Ubbens","Retail - ESEE"
"REN 6/30/2021 Pathwave  - Retail","CRR Retail Renewal","S520602","1800.00","1800.00","1800.00","6/22/2021","Tara Ubbens","Retail - ESEE"
"REN 6/30/2021 Oreus d.o.o. - Retail","CRR Retail Renewal","S520637","900.00","900.00","900.00","6/22/2021","Tara Ubbens","Retail - ESEE"
"REN 6/23/2021 Redwood Trust, Inc. - Retail Pack","CRR Retail Renewal","S520702","1495.00","1495.00","1495.00","6/22/2021","Tara Ubbens","Retail - ESEE"
"REN 6/7/2021 Lotek Wireless Inc - Retail","CRR Retail Renewal","S520897","900.00","900.00","900.00","6/22/2021","Tara Ubbens","Retail - ESEE"
"REN 7/31/2021 Miami-Dade County - Retail","CRR Retail Renewal","S520906","900.00","900.00","900.00","6/22/2021","Tara Ubbens","Retail - ESEE"
"REN 8/12/2021 Visa Inc - Retail Pack","CRR Retail Renewal","S520826","1895.25","1895.25","1895.25","6/24/2021","Tara Ubbens","Retail - ESEE"
"REN 9/23/2021 ECA-European Court of Auditors - Retail Pack","CRR Contract REN","S520905","1795.50","1795.50","1795.50","6/24/2021","Tara Ubbens","Retail - ESEE"
"REN 7/29/2021 Prometric - Retail","CRR Retail Renewal","S520909","900.00","900.00","900.00","6/24/2021","Tara Ubbens","Retail - ESEE"
"REN 7/31/2021 The Workforce Group (Pty) Ltd - Retail","CRR Retail Renewal","S521271","900.00","900.00","900.00","6/29/2021","Tara Ubbens","Retail - ESEE"
"REN 6/30/2021 Silae - Retail Pack","CRR Retail Renewal","S521270","1995.00","1995.00","1995.00","6/29/2021","Tara Ubbens","Retail - ESEE"
"REN 7/29/2021 Seville More Hélory - Retail","CRR Retail Renewal","S521272","900.00","900.00","900.00","6/29/2021","Tara Ubbens","Retail - ESEE"
"REN 6/21/2021 Ming Chan - Retail Pack","","S521266","1495.00","1495.00","1495.00","6/29/2021","Tara Ubbens","Retail - ESEE"
"REN 6/30/2021 E-Medicus AG - Retail Pack","CRR Retail Renewal","S521260","1495.00","1495.00","1495.00","6/29/2021","Tara Ubbens","Retail - ESEE"
"REN 7/1/2021 Ason AG - Retail Pack","CRR Retail Renewal","S521275","1495.00","1495.00","1495.00","6/29/2021","Tara Ubbens","Retail - ESEE"
"REN 6/30/2021 Axess Groupe - Retail Pack","CRR Retail Renewal","S521435","1995.00","1995.00","1995.00","6/30/2021","Tara Ubbens","Retail - ESEE"
"REN 6/28/2021 OUH via QBS- Retail","CRR Retail Renewal","S521372","720.00","720.00","720.00","6/30/2021","Tara Ubbens","Retail - ESEE"
"REN 6/27/2021 SOPTIM AG - Retail","CRR Retail Renewal","S521369","900.00","900.00","900.00","6/30/2021","Tara Ubbens","Retail - ESEE"
"REN 7/31/2021 Kosatec Computer GmbH - Retail Pack","CRR Retail Renewal","S521399","1495.00","1495.00","1495.00","6/30/2021","Tara Ubbens","Retail - ESEE"
"REN 7/11/2021 Shimadzu Co., Ltd. - Retail via ComponentSource","CRR Retail Renewal","C495477","450.00","450.00","450.00","6/30/2021","Tara Ubbens","Retail - ESEE"
"REN 7/31/2021 Mobisoft Mobile Ordering Solutions - Retail","CRR Retail Renewal","S521494","900.00","900.00","900.00","6/30/2021","Tara Ubbens","Retail - ESEE"
"REN 7/24/2021 Epoch Solutions Group - Retail Pack","CRR Retail Renewal","S521364","1495.00","1495.00","1495.00","6/30/2021","Tara Ubbens","Retail - ESEE"
