"Opportunity Name","Revenue Type","DT Order ID","Amount After Discount","Renewal Amount this Year","Total Invoice Amount","Close Date","Opportunity Owner","License Ordered"
"REN 3/22/2021 WellAware Holdings, Inc. - Retail-Renewal Split","Maintenance REN Split","S512005","445.00","445.00","5995.00","3/8/2021","Tara Ubbens","Global"
"REN 5/5/2021 Safetrac - Retail-Renewal Split","CRR Retail Renewal","S512133","445.00","445.00","1995.00","3/9/2021","Tara Ubbens","Global"
"REN 7/12/2021 TESSALink, L.P. - Retail-Renewal Split","Maintenance REN Split","S513555","890.00","890.00","2995.00","3/26/2021","Tara Ubbens","Global"
"KCReview CW - Contract Wrangler, Inc. - CRR Split","CRR Retail Renewal","S514150","445.00","445.00","6000.00","3/31/2021","Tara Ubbens","Global"
"Cyberjet - Global-Renewal Split","Maintenance REN Split","S514062","900.00","900.00","3371.25","3/31/2021","Tara Ubbens","Global"
"Hausbank Muenchen - ""VS3+"" Project - API-Renewal Split","Maintenance REN Split","S512083","445.00","","5995.00","3/9/2021","Tara Ubbens","Project"
"Enpal GmbH - IOT Monitoring Project License - CRR Split","CRR Retail Renewal","S514129","445.00","445.00","5364.83","3/31/2021","Tara Ubbens","Project"
"REN 3/31/2021 IESEG School of Management - Retail","CRR Retail Renewal","S511489","1800.00","1800.00","1800.00","3/1/2021","Tara Ubbens","Retail - ESEE"
"REN 3/5/2021 Belcan - Retail","CRR Retail Renewal","S511576","445.00","445.00","445.00","3/2/2021","Tara Ubbens","Retail - ESEE"
"REN 3/27/2021 Infowit, Inc. - Retail","CRR Retail Renewal","S511568","900.00","900.00","900.00","3/2/2021","Tara Ubbens","Retail - ESEE"
"REN 3/30/2021 Zucchetti Software Spain, S.L.U. - Retail","CRR Retail Renewal","S511581","1800.00","1800.00","1800.00","3/2/2021","Tara Ubbens","Retail - ESEE"
"REN 6/12/2021 A-WebSys, spol. s.r.o. - Retail - CRR Split","CRR Retail Renewal","S511643","445.00","445.00","3995.00","3/3/2021","Tara Ubbens","Retail - ESEE"
"REN 2/28/2021 Landguard Systems Limited - Retail Pack","CRR Retail Renewal","S512070","1995.00","1995.00","1995.00","3/8/2021","Tara Ubbens","Retail - ESEE"
"REN 3/10/2021 Swiss Pension - Retail","CRR Retail Renewal","S512022","900.00","900.00","900.00","3/8/2021","Tara Ubbens","Retail - ESEE"
"RENAPI - 3/31/2021 - Engie Energía Chile","CRR Retail Renewal","S512129","1995.00","1995.00","1995.00","3/9/2021","Tara Ubbens","Retail - ESEE"
"REN 3/2/2021 Namirial spa - Retail Pack","CRR Retail Renewal","S512267","1495.00","1495.00","1495.00","3/11/2021","Tara Ubbens","Retail - ESEE"
"RENAPI - 2/28/2021 - AECOM","CRR Retail Renewal","S512666","1995.00","1995.00","2139.64","3/11/2021","Tara Ubbens","Retail - ESEE"
"REN 4/30/2021 Proconex - Retail Pack","CRR Retail Renewal","S512933","1995.00","1995.00","1995.00","3/17/2021","Tara Ubbens","Retail - ESEE"
"NCS - ITEC Image Technologies - ESEE - CRR Split","CRR Retail Renewal","S512941","890.00","890.00","5254.00","3/18/2021","Tara Ubbens","Retail - ESEE"
"REN 4/23/2021 Heliatek - Retail Pack","CRR Retail Renewal","S513324","1995.00","1995.00","1995.00","3/19/2021","Tara Ubbens","Retail - ESEE"
"REN 2/27/2021 SIS LLC - Retail Pack","CRR Retail Renewal","S513375","1495.00","1495.00","1495.00","3/22/2021","Tara Ubbens","Retail - ESEE"
"REN 3/27/2021 PSAV Presentation Services - Retail Pack","CRR Retail Renewal","S513287","1420.25","1420.25","1420.25","3/22/2021","Tara Ubbens","Retail - ESEE"
"W513178 REN 3/28/2021 Amitek - Retail","CRR Retail Renewal","W513178","900.00","900.00","900.00","3/22/2021","Tara Ubbens","Retail - ESEE"
"REN 3/30/2021 Momentis Systems - Retail","CRR Retail Renewal","S513379","3350.00","3350.00","3350.00","3/22/2021","Tara Ubbens","Retail - ESEE"
"W513277 RENAPI - 4/5/2021 - Klaus Frieg - Systemprogrammierung","CRR Retail Renewal","W513277","900.00","900.00","900.00","3/23/2021","Tara Ubbens","Retail - ESEE"
"REN 2/25/2021 Jestrion LLC - Retail","CRR Retail Renewal","S513373","900.00","900.00","900.00","3/23/2021","Tara Ubbens","Retail - ESEE"
"REN 4/28/2021 Transatlantic Reinsurance Company - Retail Pack","CRR Retail Renewal","S513794","1420.25","1495.00","1420.25","3/23/2021","Tara Ubbens","Retail - ESEE"
"REN 3/31/2021 Allegro Microsystems Inc. - Retail","CRR Retail Renewal","S513776","3600.00","3600.00","3600.00","3/24/2021","Tara Ubbens","Retail - ESEE"
"REN 6/23/2021 ECA-European Court of Auditors - Retail Pack","CRR Retail Renewal","S513799","1995.00","1995.00","1995.00","3/24/2021","Tara Ubbens","Retail - ESEE"
"REN 4/24/2021 Managed Services 360 LLC - Retail","CRR Retail Renewal","S513770","900.00","900.00","900.00","3/25/2021","Tara Ubbens","Retail - ESEE"
"RENAPI - 4/11/2021 - Integratedportfoliosolutions","CRR Retail Renewal","S513766","750.00","750.00","750.00","3/25/2021","Tara Ubbens","Retail - ESEE"
"REN 4/29/2021 Novel GmbH - Retail","CRR Retail Renewal","S513547","900.00","900.00","900.00","3/25/2021","Tara Ubbens","Retail - ESEE"
"REN 3/4/2021 Bartec - Retail Pack","CRR Retail Renewal","S513576","1995.00","1995.00","1995.00","3/26/2021","Tara Ubbens","Retail - ESEE"
"W513564 RENAPI - 3/1/2021 - ScanSolutions","CRR Retail Renewal","W513564","900.00","900.00","900.00","3/26/2021","Tara Ubbens","Retail - ESEE"
"REN 4/1/2021 Minot Enterprises - Retail Pack","CRR Retail Renewal","S513843","1995.00","1995.00","1995.00","3/29/2021","Tara Ubbens","Retail - ESEE"
