"Opportunity Name","Revenue Type","DT Order ID","Amount After Discount","Renewal Amount this Year","Total Invoice Amount","Close Date","Opportunity Owner","License Ordered"
"W517008 Schneider Electric - Retail","CRR Retail Renewal","W517008","2985.00","","2985.00","5/7/2021","Pat Staley","Retail - ESEE"
"W516758 REN 4/22/2021 Abast Systems S.A. - Retail","CRR Retail Renewal","W516758","900.00","900.00","900.00","5/4/2021","Tara Ubbens","Retail - ESEE"
"REN 5/18/2021 NYC Environmental Protection - Retail","CRR Retail Renewal","C492189","562.50","562.50","562.50","5/6/2021","Tara Ubbens","Retail - ESEE"
"REN 5/14/2021 WEG Industries - Retail Pack","CRR Retail Renewal","S516956","1495.00","1495.00","1495.00","5/6/2021","Tara Ubbens","Retail - ESEE"
"REN 7/25/2021 Catalytic Inc. - Retail","CRR Retail Renewal","W517030","900.00","900.00","900.00","5/7/2021","Tara Ubbens","Retail - ESEE"
"REN 5/8/2021 GF Machining Solutions - Retail","CRR Retail Renewal","S517233","2700.00","2700.00","2700.00","5/10/2021","Tara Ubbens","Retail - ESEE"
"REN 5/14/2021 KRM Partners - Retail Pack","CRR Retail Renewal","S517477","1495.00","1495.00","1495.00","5/13/2021","Tara Ubbens","Retail - ESEE"
"REN 5/23/2021 BIT-TECHNOLOGIES - Retail","CRR Retail Renewal","S517511","358.65","358.65","358.65","5/13/2021","Tara Ubbens","Retail - ESEE"
"REN 5/31/2021 VeriSource Services, Inc - Retail Pack","CRR Retail Renewal","S517893","1495.00","1495.00","1495.00","5/17/2021","Tara Ubbens","Retail - ESEE"
"REN 5/10/2021 Learner Driving Centre - Retail","CRR Retail Renewal","S517904","900.00","900.00","900.00","5/17/2021","Tara Ubbens","Retail - ESEE"
"REN 5/31/2021 Shinsei Bank - Retail via ComponentSource","CRR Retail Renewal","C492782","450.00","450.00","450.00","5/17/2021","Tara Ubbens","Retail - ESEE"
"REN 5/1/2021 Pionira - Retail","CRR Retail Renewal","S517907","900.00","900.00","900.00","5/18/2021","Tara Ubbens","Retail - ESEE"
"REN 5/14/2021 Work is Good - Retail","CRR Retail Renewal","S517906","900.00","900.00","900.00","5/18/2021","Tara Ubbens","Retail - ESEE"
"REN 5/10/2021 immo-portal-services GmbH - Retail Pack","CRR Retail Renewal","S518033","1495.00","1495.00","1495.00","5/19/2021","Tara Ubbens","Retail - ESEE"
"REN 5/27/2021 BankData - Retail Pack","CRR Retail Renewal","S518101","1995.00","1995.00","1995.00","5/19/2021","Tara Ubbens","Retail - ESEE"
"REN 6/30/2021 Tennessee Valley Authority - Retail Pack","CRR Retail Renewal","S518024","1995.00","1995.00","1995.00","5/19/2021","Tara Ubbens","Retail - ESEE"
"REN 4/29/2021 TIBCO Software Inc - Retail Pack","CRR Retail Renewal","S518112","8187.00","8187.00","8187.00","5/20/2021","Tara Ubbens","Retail - ESEE"
"REN 5/1/2021 ONE Gas - Retail Pack","CRR Retail Renewal","S518116","1495.00","1495.00","1495.00","5/20/2021","Tara Ubbens","Retail - ESEE"
"REN 5/31/2021 Working with Maxelit - Retail","CRR Retail Renewal","S518808","900.00","900.00","900.00","5/21/2021","Tara Ubbens","Retail - ESEE"
"RENAPI - 5/31/2021 - Interdev Technolgies Inc","CRR Retail Renewal","S518497","1495.00","1495.00","1495.00","5/25/2021","Tara Ubbens","Retail - ESEE"
"REN 5/21/2021 Kornic Automation - Retail Pack via ComponentSource","CRR Retail Renewal","C493333","1496.25","1496.25","1496.25","5/25/2021","Tara Ubbens","Retail - ESEE"
"REN 6/17/2021 Leading Win Co., Ltd. - Retail","CRR Retail Renewal","S518496","900.00","900.00","900.00","5/25/2021","Tara Ubbens","Retail - ESEE"
"W518654 REN 5/31/2021 System4 BBT Electronics - Retail","CRR Retail Renewal","W518654","1125.00","445.00","1125.00","5/27/2021","Tara Ubbens","Retail - ESEE"
"W518651 REN 5/16/2021 Reading Truck Group - Retail","CRR Retail Renewal","W518651","445.00","445.00","445.00","5/27/2021","Tara Ubbens","Retail - ESEE"
"REN 6/30/2021 Jacobs Engineering Group - Retail Pack","CRR Retail Renewal","S518697","1495.00","1495.00","1495.00","5/27/2021","Tara Ubbens","Retail - ESEE"
"REN 5/27/2021 Extranet - Retail","CRR Retail Renewal","S518704","900.00","900.00","900.00","5/27/2021","Tara Ubbens","Retail - ESEE"
"REN 6/11/2021 TAC America Inc  - Retail Pack","CRR Retail Renewal","S518809","1495.00","1495.00","1495.00","5/28/2021","Tara Ubbens","Retail - ESEE"
"REN 4/30/2021 PKO Bank Polski via MS-G S.C. - Retail Pack","CRR Retail Renewal","S518766","1345.50","1345.50","1345.50","5/28/2021","Tara Ubbens","Retail - ESEE"
"REN 6/19/2021 Fundação Bradesco - Retail Pack via ComponentSource","CRR Retail Renewal","C493587","1121.25","1121.25","1121.25","5/28/2021","Tara Ubbens","Retail - ESEE"
