"Opportunity Name","Revenue Type","DT Order ID","Amount After Discount","Renewal Amount this Year","Total Invoice Amount","Close Date","Opportunity Owner","License Ordered"
"REN 2/19/2022 DynaTrace Software Inc. - Retail Pack-Renewal Split","Maintenance REN Split","S511478","1495.00","","9995.00","2/27/2021","Tara Ubbens","Division"
"W509015 RENAPI - 2/27/2021 - M. Bohlke Veneer Corp.","CRR Retail Renewal","W509015","900.00","900.00","900.00","2/1/2021","Tara Ubbens","Retail - ESEE"
"W509209 RENAPI - 2/27/2021 - RLD Associates Inc.","CRR Retail Renewal","W509209","900.00","900.00","900.00","2/3/2021","Tara Ubbens","Retail - ESEE"
"RENAPI - 3/7/2021 - Arrowstreet Capital","CRR Retail Renewal","S509558","4295.00","4295.00","4295.00","2/7/2021","Tara Ubbens","Retail - ESEE"
"REN 5/6/2021 Mezcal Technologies, S.A. de C.V. - Retail-Renewal Split","Maintenance REN Split","S509555","445.00","445.00","1440.00","2/8/2021","Tara Ubbens","Retail - ESEE"
"RENAPI - 1/28/2021 - Schuman Cheese","CRR Retail Renewal","S509682","900.00","900.00","900.00","2/9/2021","Tara Ubbens","Retail - ESEE"
"RENAPI - 2/17/2021 - Brotherhood of Locomotive Engineers and Trainmen","CRR Retail Renewal","S509752","900.00","900.00","900.00","2/9/2021","Tara Ubbens","Retail - ESEE"
"REN 3/31/2021 Derby Supply Chain Solutions - Retail Pack","CRR Retail Renewal","S509822","1495.00","1495.00","1495.00","2/10/2021","Tara Ubbens","Retail - ESEE"
"REN 3/7/2021 Projector PSA - Retail via ComponentSource","CRR Retail Renewal","C487001","450.00","450.00","450.00","2/10/2021","Tara Ubbens","Retail - ESEE"
"REN 3/19/2021 Spagnol s.r.l. - Retail","CRR Retail Renewal","S509803","900.00","900.00","900.00","2/10/2021","Tara Ubbens","Retail - ESEE"
"REN 2/4/2021 ACRT Services, Inc - Retail Pack","CRR Retail Renewal","S509845","1495.00","1495.00","1495.00","2/11/2021","Tara Ubbens","Retail - ESEE"
"RENAPI - 1/30/2021 - Advanced Semiconductor Engineering, Inc.","CRR Retail Renewal","S510093","1345.50","1345.50","1345.50","2/11/2021","Tara Ubbens","Retail - ESEE"
"REN 5/21/2021 Quintessential Brands Group  - Retail - CRR Split","Maintenance REN Split","S509794","445.00","445.00","3204.50","2/11/2021","Tara Ubbens","Retail - ESEE"
"REN 4-3-21 Landesbank Baden-Württemberg via Component Source","CRR Retail Renewal","C487263","1012.50","1012.50","1012.50","2/11/2021","Tara Ubbens","Retail - ESEE"
"REN 2/13/2021 Expertplace networks group AG - Retail Pack","CRR Retail Renewal","S510264","1995.00","1995.00","1995.00","2/15/2021","Tara Ubbens","Retail - ESEE"
"REN 2/14/2021 IRISNDT - Retail","CRR Retail Renewal","S510187","2900.00","2900.00","2900.00","2/15/2021","Tara Ubbens","Retail - ESEE"
"REN 3/25/2021 Innovative Edge - Retail Pack","CRR Retail Renewal","S510514","1995.00","1995.00","1995.00","2/17/2021","Tara Ubbens","Retail - ESEE"
"REN 2/19/2021 LinkSoft Pty. Ltd. - Retail Pack","CRR Retail Renewal","S510521","1495.00","1495.00","1495.00","2/18/2021","Tara Ubbens","Retail - ESEE"
"REN 2/28/2021 Schuman Cheese - Retail Pack","CRR Retail Renewal","S510870","1495.00","1495.00","1495.00","2/22/2021","Tara Ubbens","Retail - ESEE"
"RENAPI - 2/21/2021 - Ruoff Home Mortgage","CRR Retail Renewal","S510940","1995.00","1995.00","1995.00","2/23/2021","Tara Ubbens","Retail - ESEE"
"REN 3/6/2021 Wiener Krankenanstaltenverbund IT - Retail via ComponentSource","CRR Retail Renewal","C487800","1345.00","1345.00","1345.00","2/23/2021","Tara Ubbens","Retail - ESEE"
"REN 3/31/2021 Patterson Pumps - Retail","CRR Retail Renewal","S511062","900.00","900.00","900.00","2/24/2021","Tara Ubbens","Retail - ESEE"
"REN 5/21/2021 Pitt Ohio - Retail - CRR Split","CRR Retail Renewal","S511051","900.00","","3897.00","2/25/2021","Tara Ubbens","Retail - ESEE"
"REN 2/16/2021 OBI Smart Technologies GmbH - Retail Pack","CRR Retail Renewal","S511194","1995.00","1995.00","1995.00","2/26/2021","Tara Ubbens","Retail - ESEE"
"NCS - 3/31/2021 Waters Corporation - 5-Pack - CRR Split","CRR Retail Renewal","S511484","890.00","","6614.00","2/26/2021","Tara Ubbens","Retail - ESEE"
"REN 10/15/2021 Downer - Retail - CRR Split","CRR Retail Renewal","S511149","148.33","","1495.00","2/26/2021","Tara Ubbens","Retail - ESEE"
"RENAPI - 2/28/2021 - Georgia System Operations Corporation","CRR Retail Renewal","S511201","1495.00","1495.00","1495.00","2/26/2021","Tara Ubbens","Retail - ESEE"
"RENAPI - 3/9/2021 - Humannet B.V.","CRR Retail Renewal","S511474","1440.00","1440.00","1440.00","2/26/2021","Tara Ubbens","Retail - ESEE"
"REN - 2-17-21 AusNet Services","CRR Retail Renewal","S511238","720.00","720.00","720.00","2/9/2021","Tara Ubbens","Retail - ESEE"
"REN 3/1/2021 Ing. Walter Steingress - Retail","CRR Retail Renewal","S511231","900.00","900.00","900.00","2/26/2021","Tara Ubbens","Retail - ESEE"
"RENAPI - 1/22/2021 - Longines Watches","CRR Retail Renewal","S509149","445.00","445.00","445.00","2/2/2021","Tara Ubbens","Retail - Other"
"RENAPI - 1/22/2021 - Hyster Yale Group","CRR Retail Renewal","S509148","1335.00","1335.00","1335.00","2/2/2021","Tara Ubbens","Retail - Other"
"RENAPI - 1/3/2021 - Dr. Starke Managementsysteme","CRR Retail Renewal","S509154","445.00","445.00","445.00","2/2/2021","Tara Ubbens","Retail - Other"
"RENAPI - 2/8/2021 - SMS Labruyere","CRR Retail Renewal","S509236","890.00","890.00","890.00","2/3/2021","Tara Ubbens","Retail - Other"
"RENAPI - 1/20/2021 - Pursue Health LLC","CRR Retail Renewal","S509237","445.00","445.00","445.00","2/3/2021","Tara Ubbens","Retail - Other"
"RENAPI - 1/8/2021 - Assist Digital","CRR Retail Renewal","S509238","445.00","445.00","445.00","2/3/2021","Tara Ubbens","Retail - Other"
"W509188 REN 3/21/2021 Exalogic, s.r.o. - Retail","CRR Retail Renewal","W509188","445.00","445.00","445.00","2/3/2021","Tara Ubbens","Retail - Other"
"REN 2/27/2021 Assist Digital - Retail","CRR Retail Renewal","S509240","445.00","445.00","445.00","2/3/2021","Tara Ubbens","Retail - Other"
"RENAPI - 2/5/2021 - Beecher Carlson","CRR Retail Renewal","W509291","445.00","445.00","445.00","2/4/2021","Tara Ubbens","Retail - Other"
"RENAPI - 1/27/2021 - Naqel Express","CRR Retail Renewal","S509284","445.00","445.00","445.00","2/4/2021","Tara Ubbens","Retail - Other"
"W509264 RENAPI - 2/1/2021 - HMSWeb Tecnologia da Informação Ltda","CRR Retail Renewal","W509264","890.00","890.00","890.00","2/4/2021","Tara Ubbens","Retail - Other"
"REN 3/15/2021 Sync1 Systems - Retail","CRR Retail Renewal","S509325","3000.00","3000.00","3000.00","2/4/2021","Tara Ubbens","Retail - Other"
"W509257 REN 2/25/2021 oho360 GmbH - Retail","CRR Retail Renewal","W509257","445.00","445.00","445.00","2/4/2021","Tara Ubbens","Retail - Other"
"REN 2/10/2021 eRetail Cybertech Pvt Ltd - Retail","CRR Retail Renewal","S509301","445.00","445.00","445.00","2/4/2021","Tara Ubbens","Retail - Other"
"RENAPI - 1/31/2021 - GLASER -isb cad","CRR Retail Renewal","S511438","6007.50","6007.50","6007.50","2/5/2021","Tara Ubbens","Retail - Other"
"W509436 RENAPI - 2/2/2021 - Advellence Solutions AG","CRR Retail Renewal","W509436","445.00","445.00","445.00","2/6/2021","Tara Ubbens","Retail - Other"
"W509583 REN 2/7/2021 Navegate - Retail","CRR Retail Renewal","W509583","445.00","445.00","445.00","2/8/2021","Tara Ubbens","Retail - Other"
"REN 2/7/2021 GCTS Testing Systems - Retail","CRR Retail Renewal","S509742","445.00","445.00","445.00","2/9/2021","Tara Ubbens","Retail - Other"
"REN 2/6/2021 Styrkelabbet AB - Retail","CRR Retail Renewal","S509683","295.00","295.00","295.00","2/9/2021","Tara Ubbens","Retail - Other"
"RENAPI - 1/31/2021 - Material Handling Systems","CRR Retail Renewal","S509686","890.00","890.00","890.00","2/9/2021","Tara Ubbens","Retail - Other"
"RENAPI - 2/28/2021 - Georgia Public Service Commission","CRR Retail Renewal","S509678","1335.00","1335.00","1335.00","2/9/2021","Tara Ubbens","Retail - Other"
"REN 2/19/2021 Mahuta Digital - Retail","CRR Retail Renewal","S509724","445.00","445.00","445.00","2/9/2021","Tara Ubbens","Retail - Other"
"REN 3/10/2021 Henkels & McCoy, Inc. - Retail","CRR Retail Renewal","S509744","445.00","445.00","445.00","2/10/2021","Tara Ubbens","Retail - Other"
"REN 5/8/2021 Bloomberg L.P. via Insight-Renewal Split","Maintenance REN Split","S509750","1895.25","","6890.25","2/10/2021","Tara Ubbens","Retail - Other"
