Opportunity Name,Revenue Type,DT Order ID,Amount After Discount,Renewal Amount this Year,Total Invoice Amount,Close Date,Opportunity Owner,License Ordered
REN 18-30-21 Ocean Data Systems - Global,CRR Contract REN,S519606,13995,13995,13995,6/9/2021,Danielle Maynard,Global
REN 7-19-21 C&R Tech - Global,CRR Contract REN,S520023,1395,1395,1395,6/14/2021,Danielle Maynard,Global
REN 7-27-21 Probat-Werke von Gimborn Maschinenfabrik GmbH  -  Global,CRR Contract REN,S520042,3495,3495,3495,6/14/2021,Danielle Maynard,Global
REN 7-31-21 Eminent Technology Solutions - Global,CRR Contract REN,S519938,1995,1995,1995,6/14/2021,Danielle Maynard,Global
REN 7-25-21 R.C. Giltner Services - Global,CRR Contract REN,S520112,1500,1500,1500,6/14/2021,Danielle Maynard,Global
REN 7-20-21 Konica Minolta Inc. - Global,CRR No Contract REN,S519936,23000,23000,23000,6/14/2021,Danielle Maynard,Global
REN 7-1-21 Tackle AI LLC - Global,CRR Contract REN,S520000,3600,3600,3600,6/14/2021,Danielle Maynard,Global
REN 7-18-21 Interpulse Ltd - Global,CRR Contract REN,S520141,405,405,405,6/15/2021,Danielle Maynard,Global
REN 7-11-21 Provana LLC - Global,CRR Contract REN,S520152,4800,4800,4800,6/15/2021,Danielle Maynard,Global
REN 7-18-21 ZIIOS (Thailand) Limited - Global,CRR Contract REN,S520144,3995,3995,3995,6/15/2021,Danielle Maynard,Global
REN 5-27-21 Project Thunder - Global,CRR No Contract REN,S520246,1350,1350,1350,6/17/2021,Danielle Maynard,Global
REN 7-13-21 Collectron International - Global,CRR No Contract REN,S521299,1595,1595,1595,6/22/2021,Danielle Maynard,Global
REN 7-26-21 Minitab - Global,CRR Contract REN,S520635,20000,20000,20000,6/22/2021,Danielle Maynard,Global
REN 7-24-21 Ipes (Guernsey) Limited - Global,CRR No Contract REN,S521317,3995,3995,3995,6/23/2021,Danielle Maynard,Global
